year;house_price
1998;156.9
1999;146.3
2000;113.1
2001;125.1
2002;122.5
2003;118.8
2004;118.5
2005;117.5
2006;147.7
2007;123.4
2008;110.3
2009;92.4
2010;100.3
2011;106.7
2012;110.7
2013;104.8
2014;105.7
2015;99.7
2016;99.6
2017;101.0
2018;106.3
2019;108.0
2020;112.0
2021;126.0
2022;121.0
2023;120.0
